updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee,second_absentee,provisional
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Governor / Lt. Governor,,Anthony G. Brown,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,1050,,,,,2014,868,41,11,10
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Governor / Lt. Governor,,Doug Gansler,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,900,,,,,2014,783,35,4,4
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Governor / Lt. Governor,,Ralph Jaffe,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,59,,,,,2014,51,4,1,0
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Governor / Lt. Governor,,Heather Mizeur,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,773,,,,,2014,694,6,1,13
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Governor / Lt. Governor,,Charles U. Smith,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,79,,,,,2014,68,5,0,1
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Governor / Lt. Governor,,Cindy A. Walsh,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,153,,,,,2014,134,8,1,5
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Comptroller,,Peter Franchot,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,2214,,,,,2014,1900,85,17,29
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Attorney General,,Aisha Braveboy,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,300,,,,,2014,253,20,6,9
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Attorney General,,Jon S. Cardin,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,1390,,,,,2014,1196,46,6,13
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Attorney General,,Brian E. Frosh,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,1097,,,,,2014,946,29,5,10
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,U.S. Congress,06,John K. Delaney,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,2417,,,,,2014,2077,85,15,28
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,House of Delegates,01B,Kevin Kelly,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,1321,,,,,2014,1159,35,7,11
2015-05-02 21:27:13.299000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,House of Delegates,01C,Nick Scarpelli,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,873,,,,,2014,717,47,7,9
2015-05-02 21:28:53.160000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Governor / Lt. Governor,,David R. Craig,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,1752,,,,,2014,1564,57,4,14
2015-05-02 21:28:53.160000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Governor / Lt. Governor,,Ron George,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,371,,,,,2014,328,16,4,5
2015-05-02 21:28:53.160000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Governor / Lt. Governor,,Larry Hogan,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,2338,,,,,2014,2105,48,6,14
2015-05-02 21:28:53.160000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Governor / Lt. Governor,,Charles Lollar,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,362,,,,,2014,319,11,3,3
2015-05-02 21:28:53.160000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Comptroller,,William H. Campbell,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,3630,,,,,2014,3234,113,15,33
2015-05-02 21:28:53.160000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,Attorney General,,Jeffrey N. Pritzker,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,3543,,,,,2014,3155,110,16,32
2015-05-02 21:28:53.160000,md-2014-06-24-primary,2014-06-24 00:00:00,2014-06-24 00:00:00,primary,certified,False,U.S. Congress,06,Dan Bongino,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,3928,,,,,2014,3539,78,8,24
