updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,total_votes,winner,write_in,year
2014-09-15 23:54:49.004000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,1939,,,,2008
2014-09-15 23:54:51.341000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Fred Thompson,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,46,,,,2008
2014-09-15 23:54:51.341000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Tom Tancredo,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,7,,,,2008
2014-09-15 23:54:51.341000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Mitt Romney,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,271,,,,2008
2014-09-15 23:54:51.341000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Ron Paul,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,168,,,,2008
2014-09-15 23:54:49.004000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Mike Gravel,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,18,,,,2008
2014-09-15 23:54:49.004000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,John Edwards,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,244,,,,2008
2014-09-15 23:54:49.004000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Christopher J. Dodd,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,13,,,,2008
2014-09-15 23:54:49.004000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Hillary Clinton,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,3497,,,,2008
2014-09-15 23:54:49.004000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Joe Biden,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,46,,,,2008
