updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee,second_absentee,provisional
2015-10-09 20:17:23.450000,md-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,Governor / Lt. Governor,,Martin O'Malley,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,4385,,,,,2006,4207,127,26,25
2015-10-09 20:17:23.450000,md-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,Comptroller,,Peter Franchot,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,1468,,,,,2006,1423,30,7,8
2015-10-09 20:17:23.450000,md-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,Comptroller,,Janet S. Owens,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,1282,,,,,2006,1238,28,9,7
2015-10-09 20:17:23.450000,md-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,Comptroller,,William Donald Schaefer,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,2177,,,,,2006,2079,75,12,11
2015-10-09 20:17:23.450000,md-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,Attorney General,,Douglas F. Gansler,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,1970,,,,,2006,1886,65,10,9
2015-10-09 20:17:23.450000,md-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,Attorney General,,Stuart O. Simms,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,1393,,,,,2006,1338,39,9,7
2015-10-09 20:17:23.450000,md-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,U.S. Senator,,Benjamin L. Cardin,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,2154,,,,,2006,2070,65,10,9
2015-10-09 20:17:23.450000,md-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,U.S. Senator,,David Dickerson,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,76,,,,,2006,73,2,0,1
2015-10-09 20:17:23.450000,md-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,U.S. Senator,,George T. English,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,52,,,,,2006,51,1,0,0
2015-10-09 20:17:23.450000,md-2006-09-12-primary,2006-09-12 00:00:00,2006-09-12 00:00:00,primary,certified,False,U.S. Senator,,James H. Hutchinson,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,292,,,,,2006,281,4,3,4
