updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee,second_absentee,provisional
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,President - Vice Pres,,Hillary Clinton,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,2476,,,,,2016,2021,129,13,23
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,President - Vice Pres,,Roque Rocky De La Fuente,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,47,,,,,2016,44,1,0,1
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,President - Vice Pres,,Bernie Sanders,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,2727,,,,,2016,2258,94,26,138
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,President - Vice Pres,,Uncommitted To Any Presidential Candidate,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,746,,,,,2016,646,32,4,11
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,U.S. Senator,,"Freddie Donald Dickson, Jr.",,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,202,,,,,2016,172,11,0,12
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,U.S. Senator,,Donna F. Edwards,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,1573,,,,,2016,1298,70,13,65
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,U.S. Senator,,Ralph Jaffe,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,98,,,,,2016,72,4,3,12
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,U.S. Senator,,Theresa C. Scaldaferri,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,140,,,,,2016,114,6,1,10
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,U.S. Senator,,Charles U. Smith,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,129,,,,,2016,110,7,0,7
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,U.S. Senator,,Violet Staley,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,123,,,,,2016,100,7,1,9
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,U.S. Senator,,Blaine Taylor,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,163,,,,,2016,139,5,5,2
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,U.S. Senator,,Ed Tinus,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,45,,,,,2016,39,4,0,2
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,U.S. Senator,,Chris Van Hollen,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,2993,,,,,2016,2498,113,17,18
2017-07-07 20:29:17.297000,md-2016-04-26-primary,2016-04-26 00:00:00,2016-04-26 00:00:00,primary,certified,False,U.S. Senator,,Lih Young,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,106,,,,,2016,85,3,0,11
