updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee,second_absentee,provisional
2015-10-09 20:17:22.103000,md-2006-11-07-general,2006-11-07 00:00:00,2006-11-07 00:00:00,general,certified,False,Governor / Lt. Governor,,"Robert L. Ehrlich, Jr.",,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,12424,,,,,2006,11251,1020,58,95
2015-10-09 20:17:22.103000,md-2006-11-07-general,2006-11-07 00:00:00,2006-11-07 00:00:00,general,certified,False,Governor / Lt. Governor,,Martin O'Malley,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,9033,,,,,2006,8334,587,27,85
2015-10-09 20:17:22.103000,md-2006-11-07-general,2006-11-07 00:00:00,2006-11-07 00:00:00,general,certified,False,Governor / Lt. Governor,,Ed Boyd,,,,,GRN,,Allegany,ocd-division/country:us/state:md/county:allegany,215,,,,,2006,205,9,0,1
2015-10-09 20:17:22.103000,md-2006-11-07-general,2006-11-07 00:00:00,2006-11-07 00:00:00,general,certified,False,Governor / Lt. Governor,,Christopher A. Driscoll,,,,,POP,,Allegany,ocd-division/country:us/state:md/county:allegany,75,,,,,2006,67,8,0,0
2015-10-09 20:17:22.103000,md-2006-11-07-general,2006-11-07 00:00:00,2006-11-07 00:00:00,general,certified,False,Governor / Lt. Governor,,John J. Simmins,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,1,,,,,2006,1,0,0,0
2015-10-09 20:17:22.103000,md-2006-11-07-general,2006-11-07 00:00:00,2006-11-07 00:00:00,general,certified,False,Governor / Lt. Governor,,Ralph Jaffe,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2006,0,0,0,0
2015-10-09 20:17:22.103000,md-2006-11-07-general,2006-11-07 00:00:00,2006-11-07 00:00:00,general,certified,False,Governor / Lt. Governor,,Charles Ulysses Smith,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2006,0,0,0,0
2015-10-09 20:17:22.103000,md-2006-11-07-general,2006-11-07 00:00:00,2006-11-07 00:00:00,general,certified,False,Governor / Lt. Governor,,Other Write-Ins,,,,,BOT,,Allegany,ocd-division/country:us/state:md/county:allegany,8,,,,,2006,8,0,0,0
2015-10-09 20:17:22.103000,md-2006-11-07-general,2006-11-07 00:00:00,2006-11-07 00:00:00,general,certified,False,Comptroller,,Anne M. McCarthy,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,11487,,,,,2006,10405,933,52,97
2015-10-09 20:17:22.103000,md-2006-11-07-general,2006-11-07 00:00:00,2006-11-07 00:00:00,general,certified,False,Comptroller,,Peter Franchot,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,8667,,,,,2006,7952,611,28,76
