updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee,provisional,second_absentee
2018-12-18 15:14:25.764000,md-2018-11-06-general,2018-11-06 00:00:00,2018-11-06 00:00:00,general,certified,False,Governor / Lt. Governor,,Larry Hogan,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,19224,,,,,2018,15993,831,269,76
2018-12-18 15:14:25.764000,md-2018-11-06-general,2018-11-06 00:00:00,2018-11-06 00:00:00,general,certified,False,Governor / Lt. Governor,,Ben Jealous,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,3985,,,,,2018,2689,300,444,36
2018-12-18 15:14:25.764000,md-2018-11-06-general,2018-11-06 00:00:00,2018-11-06 00:00:00,general,certified,False,Governor / Lt. Governor,,Shawn Quinn,,,,,LIB,,Allegany,ocd-division/country:us/state:md/county:allegany,166,,,,,2018,136,10,7,1
2018-12-18 15:14:25.764000,md-2018-11-06-general,2018-11-06 00:00:00,2018-11-06 00:00:00,general,certified,False,Governor / Lt. Governor,,Ian Schlakman,,,,,GRN,,Allegany,ocd-division/country:us/state:md/county:allegany,139,,,,,2018,100,15,7,0
2018-12-18 15:14:25.764000,md-2018-11-06-general,2018-11-06 00:00:00,2018-11-06 00:00:00,general,certified,False,Governor / Lt. Governor,,Other Write-Ins,,,,,BOT,,Allegany,ocd-division/country:us/state:md/county:allegany,16,,,,,2018,13,1,0,0
2018-12-18 15:14:25.764000,md-2018-11-06-general,2018-11-06 00:00:00,2018-11-06 00:00:00,general,certified,False,Comptroller,,Anjali Reed Phukan,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,11006,,,,,2018,9421,367,171,44
2018-12-18 15:14:25.764000,md-2018-11-06-general,2018-11-06 00:00:00,2018-11-06 00:00:00,general,certified,False,Comptroller,,Peter Franchot,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,11436,,,,,2018,8600,746,522,63
2018-12-18 15:14:25.764000,md-2018-11-06-general,2018-11-06 00:00:00,2018-11-06 00:00:00,general,certified,False,Comptroller,,Other Write-Ins,,,,,BOT,,Allegany,ocd-division/country:us/state:md/county:allegany,15,,,,,2018,12,0,1,1
2018-12-18 15:14:25.764000,md-2018-11-06-general,2018-11-06 00:00:00,2018-11-06 00:00:00,general,certified,False,Attorney General,,Craig Wolf,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,15797,,,,,2018,13349,590,188,52
2018-12-18 15:14:25.764000,md-2018-11-06-general,2018-11-06 00:00:00,2018-11-06 00:00:00,general,certified,False,Attorney General,,Brian E. Frosh,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,7229,,,,,2018,5147,530,521,61
