updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee,second_absentee,provisional
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Governor / Lt. Governor,,Anthony G. Brown,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,4629,,,,,2014,3920,176,24,66
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Governor / Lt. Governor,,Larry Hogan,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,15410,,,,,2014,13846,355,54,151
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Governor / Lt. Governor,,Shawn Quinn,,,,,LIB,Allegany,ocd-division/country:us/state:md/county:allegany,416,,,,,2014,361,17,4,13
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Governor / Lt. Governor,,Charles U. Smith,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,1,,,,,2014,1,0,0,0
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Governor / Lt. Governor,,Ed Tinus,,,,,UNF,Allegany,ocd-division/country:us/state:md/county:allegany,1,,,,,2014,0,0,0,1
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Governor / Lt. Governor,,Other Write-Ins,,,,,BOT,Allegany,ocd-division/country:us/state:md/county:allegany,21,,,,,2014,17,1,1,0
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Comptroller,,Peter Franchot,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,9131,,,,,2014,7894,294,40,92
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Comptroller,,William H. Campbell,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,10563,,,,,2014,9531,242,41,123
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Comptroller,,Anjali Reed Phukan,,,,,OTH,Allegany,ocd-division/country:us/state:md/county:allegany,1,,,,,2014,1,0,0,0
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Comptroller,,Other Write-Ins,,,,,BOT,Allegany,ocd-division/country:us/state:md/county:allegany,12,,,,,2014,12,0,0,0
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Attorney General,,Brian E. Frosh,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,5810,,,,,2014,4995,207,34,69
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Attorney General,,Jeffrey N. Pritzker,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,12219,,,,,2014,10969,282,39,124
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Attorney General,,Leo Wayne Dymowski,,,,,LIB,Allegany,ocd-division/country:us/state:md/county:allegany,773,,,,,2014,678,21,6,18
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Attorney General,,Other Write-Ins,,,,,BOT,Allegany,ocd-division/country:us/state:md/county:allegany,17,,,,,2014,17,0,0,0
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,U.S. Congress,06,John K. Delaney,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,7152,,,,,2014,6232,221,30,63
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,U.S. Congress,06,Dan Bongino,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,12716,,,,,2014,11387,308,45,132
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,U.S. Congress,06,George Gluck,,,,,GRN,Allegany,ocd-division/country:us/state:md/county:allegany,359,,,,,2014,311,12,7,14
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,U.S. Congress,06,Other Write-Ins,,,,,BOT,Allegany,ocd-division/country:us/state:md/county:allegany,7,,,,,2014,7,0,0,0
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,State Senator,01,George C. Edwards,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,17658,,,,,2014,15691,461,68,182
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,State Senator,01,Other Write-Ins,,,,,BOT,Allegany,ocd-division/country:us/state:md/county:allegany,123,,,,,2014,106,3,1,3
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,House of Delegates,01A,Wendell R. Beitzel,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,2731,,,,,2014,2568,53,10,20
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,House of Delegates,01A,Other Write-Ins,,,,,BOT,Allegany,ocd-division/country:us/state:md/county:allegany,14,,,,,2014,11,2,0,1
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,House of Delegates,01B,Kevin Kelly,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,4623,,,,,2014,4046,168,29,34
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,House of Delegates,01B,Jason C. Buckel,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,6664,,,,,2014,6040,135,16,65
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,House of Delegates,01B,Other Write-Ins,,,,,BOT,Allegany,ocd-division/country:us/state:md/county:allegany,21,,,,,2014,18,1,0,2
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,House of Delegates,01C,Nick Scarpelli,,,,,DEM,Allegany,ocd-division/country:us/state:md/county:allegany,3262,,,,,2014,2736,123,12,35
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,House of Delegates,01C,Mike McKay,,,,,REP,Allegany,ocd-division/country:us/state:md/county:allegany,2602,,,,,2014,2236,58,16,32
2015-05-02 21:25:40.723000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,House of Delegates,01C,Other Write-Ins,,,,,BOT,Allegany,ocd-division/country:us/state:md/county:allegany,5,,,,,2014,4,0,0,1
2015-05-02 21:30:34.795000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Governor / Lt. Governor,,Anthony G. Brown,,,,,DEM,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,58001,,,,,2014,39925,1785,427,1638
2015-05-02 21:30:34.795000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Governor / Lt. Governor,,Larry Hogan,,,,,REP,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,119195,,,,,2014,90322,2392,611,2183
2015-05-02 21:30:34.795000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Governor / Lt. Governor,,Shawn Quinn,,,,,LIB,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,2782,,,,,2014,2151,75,16,95
2015-05-02 21:30:34.795000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Governor / Lt. Governor,,Charles U. Smith,,,,,DEM,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,34,,,,,2014,24,0,0,0
2015-05-02 21:30:34.795000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Governor / Lt. Governor,,Ed Tinus,,,,,UNF,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,1,,,,,2014,1,0,0,0
2015-05-02 21:30:34.795000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Governor / Lt. Governor,,Other Write-Ins,,,,,BOT,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,325,,,,,2014,218,4,3,5
2015-05-02 21:30:34.795000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Comptroller,,Peter Franchot,,,,,DEM,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,92834,,,,,2014,65428,2511,557,2074
2015-05-02 21:30:34.795000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Comptroller,,William H. Campbell,,,,,REP,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,83882,,,,,2014,64348,1670,473,1729
2015-05-02 21:30:34.795000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Comptroller,,Anjali Reed Phukan,,,,,OTH,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,59,,,,,2014,40,3,0,0
2015-05-02 21:30:34.795000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Comptroller,,Other Write-Ins,,,,,BOT,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,142,,,,,2014,106,3,4,6
2015-05-02 21:30:34.795000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Attorney General,,Brian E. Frosh,,,,,DEM,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,73860,,,,,2014,51798,2137,485,1807
2015-05-02 21:30:34.795000,md-2014-11-04-general,2014-11-04 00:00:00,2014-11-04 00:00:00,general,certified,False,Attorney General,,Jeffrey N. Pritzker,,,,,REP,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,94026,,,,,2014,71089,1850,500,1703
