updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee,second_absentee,provisional
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,10693,,,,,2008,9824,607,129,133
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,John McCain,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,18405,,,,,2008,17193,869,208,135
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Cynthia McKinney,,,,,GRN,,Allegany,ocd-division/country:us/state:md/county:allegany,82,,,,,2008,77,1,1,3
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Bob Barr,,,,,LIB,,Allegany,ocd-division/country:us/state:md/county:allegany,128,,,,,2008,119,6,2,1
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Ralph Nader,,,,,IND,,Allegany,ocd-division/country:us/state:md/county:allegany,294,,,,,2008,272,15,6,1
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Chuck Baldwin,,,,,CON,,Allegany,ocd-division/country:us/state:md/county:allegany,63,,,,,2008,61,2,0,0
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Donald K. Allen,,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2008,0,0,0,0
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Jose M. Aparicio,,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2008,0,0,0,0
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Lawson Mitchell Bone,,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2008,0,0,0,0
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,"Theodis (Ted) Brown, Sr.",,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2008,0,0,0,0
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,James D. Criveau,,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2008,0,0,0,0
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,RaeDeen R. Heupel,,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2008,0,0,0,0
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Ronald G. Hobbs,,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2008,0,0,0,0
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Charles Jay,,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2008,0,0,0,0
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Keith Russell Judd,,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2008,0,0,0,0
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Alan Keyes,,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2008,0,0,0,0
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Monroe Lee,,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,0,,,,,2008,0,0,0,0
2015-10-09 20:20:31.537000,md-2008-11-04-general,2008-11-04 00:00:00,2008-11-04 00:00:00,general,certified,False,President - Vice Pres,,Brian Moore,,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,2,,,,,2008,2,0,0,0
