updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee,second_absentee,provisional
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,2290,,,,,2012,1976,114,15,17
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Uncommitted To Any Presidential Candidate,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,1120,,,,,2012,1023,38,5,8
2015-10-09 20:39:55.354000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Newt Gingrich,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,992,,,,,2012,880,48,7,7
2015-10-09 20:39:55.354000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Jon Huntsman,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,24,,,,,2012,21,1,0,1
2015-10-09 20:39:55.354000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Fred Karger,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,12,,,,,2012,10,1,0,0
2015-10-09 20:39:55.354000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Ron Paul,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,433,,,,,2012,390,13,3,5
2015-10-09 20:39:55.354000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Rick Perry,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,42,,,,,2012,40,1,0,0
2015-10-09 20:39:55.354000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Buddy Roemer,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,24,,,,,2012,23,0,0,0
2015-10-09 20:39:55.354000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Mitt Romney,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,2781,,,,,2012,2520,104,8,14
2015-10-09 20:39:55.354000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Rick Santorum,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,2372,,,,,2012,2174,58,8,16
2015-10-09 20:40:08.965000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,2682,,,,,2012,2105,44,25,65
2015-10-09 20:40:08.965000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Uncommitted To Any Presidential Candidate,,,,,DEM,,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,340,,,,,2012,294,8,1,1
