updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee,second_absentee,provisional
2015-10-09 20:32:38.029000,md-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Governor / Lt. Governor,,Martin O'Malley,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,7933,,,,,2010,7069,354,46,75
2015-10-09 20:32:38.029000,md-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Governor / Lt. Governor,,"Robert L. Ehrlich, Jr.",,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,13394,,,,,2010,12156,488,54,103
2015-10-09 20:32:38.029000,md-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Governor / Lt. Governor,,Susan J. Gaztanaga,,,,,LIB,,Allegany,ocd-division/country:us/state:md/county:allegany,323,,,,,2010,295,12,2,4
2015-10-09 20:32:38.029000,md-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Governor / Lt. Governor,,Maria Allwine,,,,,GRN,,Allegany,ocd-division/country:us/state:md/county:allegany,198,,,,,2010,180,6,3,0
2015-10-09 20:32:38.029000,md-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Governor / Lt. Governor,,Eric Delano Knowles,,,,,CON,,Allegany,ocd-division/country:us/state:md/county:allegany,255,,,,,2010,221,16,0,0
2015-10-09 20:32:38.029000,md-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Governor / Lt. Governor,,Ralph Jaffe,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,3,,,,,2010,3,0,0,0
2015-10-09 20:32:38.029000,md-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Governor / Lt. Governor,,Corrogan R. Vaughn,,,,,UNF,,Allegany,ocd-division/country:us/state:md/county:allegany,5,,,,,2010,4,0,0,0
2015-10-09 20:32:38.029000,md-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Governor / Lt. Governor,,Other Write-Ins,,,,,BOT,,Allegany,ocd-division/country:us/state:md/county:allegany,13,,,,,2010,11,0,0,0
2015-10-09 20:32:38.029000,md-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Comptroller,,Peter Franchot,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,8623,,,,,2010,7653,376,45,80
2015-10-09 20:32:38.029000,md-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Comptroller,,William Henry Campbell,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,11767,,,,,2010,10663,453,48,93
2015-10-09 20:32:38.029000,md-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Comptroller,,Other Write-Ins,,,,,BOT,,Allegany,ocd-division/country:us/state:md/county:allegany,13,,,,,2010,12,1,0,0
2015-10-09 20:32:38.029000,md-2010-11-02-general,2010-11-02 00:00:00,2010-11-02 00:00:00,general,certified,False,Attorney General,,Douglas F. Gansler,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,12748,,,,,2010,11491,494,50,112
