updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee,second_absentee,provisional
2015-10-09 20:32:40.202000,md-2010-09-14-primary,2010-09-14 00:00:00,2010-09-14 00:00:00,primary,certified,False,Governor / Lt. Governor,,J. P. Cusick,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,881,,,,,2010,818,17,7,8
2015-10-09 20:32:40.202000,md-2010-09-14-primary,2010-09-14 00:00:00,2010-09-14 00:00:00,primary,certified,False,Governor / Lt. Governor,,Ralph Jaffe,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,259,,,,,2010,236,9,2,8
2015-10-09 20:32:40.202000,md-2010-09-14-primary,2010-09-14 00:00:00,2010-09-14 00:00:00,primary,certified,False,Governor / Lt. Governor,,Martin O'Malley,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,3828,,,,,2010,3439,131,20,38
2015-10-09 20:32:40.202000,md-2010-09-14-primary,2010-09-14 00:00:00,2010-09-14 00:00:00,primary,certified,False,Comptroller,,Peter Franchot,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,3856,,,,,2010,3463,130,24,43
2015-10-09 20:32:40.202000,md-2010-09-14-primary,2010-09-14 00:00:00,2010-09-14 00:00:00,primary,certified,False,Attorney General,,Douglas F. Gansler,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,3733,,,,,2010,3356,129,21,42
2015-10-09 20:32:40.202000,md-2010-09-14-primary,2010-09-14 00:00:00,2010-09-14 00:00:00,primary,certified,False,U.S. Senator,,Christopher J. Garner,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,646,,,,,2010,589,11,7,8
2015-10-09 20:32:40.202000,md-2010-09-14-primary,2010-09-14 00:00:00,2010-09-14 00:00:00,primary,certified,False,U.S. Senator,,A. Billy Bob Jaworski,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,228,,,,,2010,214,5,1,2
2015-10-09 20:32:40.202000,md-2010-09-14-primary,2010-09-14 00:00:00,2010-09-14 00:00:00,primary,certified,False,U.S. Senator,,Barbara A. Mikulski,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,3752,,,,,2010,3368,142,22,40
2015-10-09 20:32:40.202000,md-2010-09-14-primary,2010-09-14 00:00:00,2010-09-14 00:00:00,primary,certified,False,U.S. Senator,,Theresa C. Scaldaferri,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,109,,,,,2010,101,1,1,0
2015-10-09 20:32:40.202000,md-2010-09-14-primary,2010-09-14 00:00:00,2010-09-14 00:00:00,primary,certified,False,U.S. Senator,,Blaine Taylor,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,234,,,,,2010,213,2,0,4
2015-10-09 20:32:40.202000,md-2010-09-14-primary,2010-09-14 00:00:00,2010-09-14 00:00:00,primary,certified,False,U.S. Senator,,Sanquetta Taylor,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,45,,,,,2010,44,1,0,0
2015-10-09 20:32:40.202000,md-2010-09-14-primary,2010-09-14 00:00:00,2010-09-14 00:00:00,primary,certified,False,U.S. Senator,,Lih Young,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,77,,,,,2010,74,0,1,0
