updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,division,votes,total_votes,winner,write_in,year
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,47,,Walker,Lee,,P.,Democratic,Prince George's County,2229,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,47,,Ramirez,Victor,,R.,Democratic,Prince George's County,3054,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,47,,Price,Fred,,\N,Democratic,Prince George's County,1316,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,47,,Parker,Rosetta,,C.,Democratic,Prince George's County,3584,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,47,,Pantazes,Theodore,,N.,Democratic,Prince George's County,323,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,47,,Niemann,Doyle,,\N,Democratic,Prince George's County,3521,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,47,,McGrory,Bob,,\N,Democratic,Prince George's County,2298,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,47,,Fennell,Diana,,M.,Democratic,Prince George's County,2724,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,47,,Beverly,Lillian,,K.,Democratic,Prince George's County,1808,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,46,,Dail,L.,,Patrick,Republican,Baltimore City,993,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,46,,Petty,Darren,,\N,Democratic,Baltimore City,3881,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,46,,McHale,Brian,,K.,Democratic,Baltimore City,4570,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,46,,Marker,Bill,,\N,Democratic,Baltimore City,1128,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,46,,Krysiak,Carolyn,,\N,Democratic,Baltimore City,4826,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,46,,Johnson,Loretta,,\N,Democratic,Baltimore City,1340,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,46,,Hammen,Peter,,A.,Democratic,Baltimore City,5384,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,46,,Cole,William,,H.,Democratic,Baltimore City,4044,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,45,,Redmond,Roxcelanna,,Nia,Republican,Baltimore City,663,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,45,,Wilkes,Aaron,,Keith,Democratic,Baltimore City,726,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,45,,Stokes,Robert,,R.,Democratic,Baltimore City,2825,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,45,,Parson,Kevin,,W.,Democratic,Baltimore City,1383,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,45,,Owens-Bey,Ronald,,M.,Democratic,Baltimore City,673,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,45,,Minor-Terrell,Doris,,\N,Democratic,Baltimore City,978,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,45,,Harrison,Hattie,,N.,Democratic,Baltimore City,5436,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,45,,Dunn,John,,Rocky,Democratic,Baltimore City,2463,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,45,,Davis,Clarence,,\N,Democratic,Baltimore City,5491,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,45,,Crider,Vernon,,E.,Democratic,Baltimore City,3357,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,45,,Branch,Talmadge,,\N,Democratic,Baltimore City,5744,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,44,,Peters,James,,E.,Republican,Baltimore City,334,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,44,,Cuffie,Arthur,,W.,Republican,Baltimore City,368,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,44,,Scales,T.,,Michael,Democratic,Baltimore City,728,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,44,,Paige,Jeffrey,,A.,Democratic,Baltimore City,4137,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,44,,Orange,Rodney,,A.,Democratic,Baltimore City,1221,,,,2002
2014-06-26 17:11:15.399000,md-2002-09-10-primary,2002-09-10 00:00:00,2002-09-10 00:00:00,primary,certified,False,House of Delegates,44,,Kirk,Ruth,,M.,Democratic,Baltimore City,6344,,,,2002
