updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee,second_absentee,provisional
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,2290,,,,,2012,1976,114,15,17
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Uncommitted To Any Presidential Candidate,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,1120,,,,,2012,1023,38,5,8
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,U.S. Senator,,Raymond Levi Blagmon,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,83,,,,,2012,74,6,0,1
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,U.S. Senator,,Ben Cardin,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,2540,,,,,2012,2238,85,14,16
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,U.S. Senator,,J. P. Cusick,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,160,,,,,2012,142,7,1,1
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,U.S. Senator,,Chris Garner,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,185,,,,,2012,162,13,0,4
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,U.S. Senator,,Ralph Jaffe,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,52,,,,,2012,47,3,0,0
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,U.S. Senator,,C. Anthony Muse,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,80,,,,,2012,76,1,0,0
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,U.S. Senator,,Blaine Taylor,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,166,,,,,2012,141,15,2,1
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,U.S. Senator,,Ed Tinus,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,30,,,,,2012,25,1,0,0
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,U.S. Senator,,Lih Young,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,89,,,,,2012,81,7,0,1
2015-10-09 20:39:53.653000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,U.S. Congress,06,Charles Bailey,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,169,,,,,2012,137,13,1,3
