updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee,second_absentee,provisional
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Joe Biden,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,46,,,,,2008,43,2,0,1
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Hillary Clinton,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,3497,,,,,2008,3301,162,6,28
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Christopher J. Dodd,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,13,,,,,2008,12,1,0,0
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,John Edwards,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,244,,,,,2008,223,18,1,2
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Mike Gravel,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,18,,,,,2008,18,0,0,0
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Dennis J. Kucinich,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,24,,,,,2008,22,1,0,1
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,1939,,,,,2008,1797,86,13,43
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Bill Richardson,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,25,,,,,2008,21,1,3,0
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Uncommitted To Any Presidential Candidate,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,287,,,,,2008,267,17,2,1
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,U.S. Congress,06,Robin L. Deibert,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,455,,,,,2008,430,21,1,3
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,U.S. Congress,06,Jennifer P. Dougherty,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,1577,,,,,2008,1465,77,5,30
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,U.S. Congress,06,Andrew Duck,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,2403,,,,,2008,2255,113,13,22
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,U.S. Congress,06,Rick Lank,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,78,,,,,2008,70,6,0,2
2015-10-09 20:20:32.554000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,U.S. Congress,06,Larry John Smith,,,,,DEM,,Allegany,ocd-division/country:us/state:md/county:allegany,557,,,,,2008,517,31,3,6
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Rudy Giuliani,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,95,,,,,2008,70,22,1,2
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Mike Huckabee,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,2499,,,,,2008,2409,54,2,34
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Duncan Hunter,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,8,,,,,2008,7,1,0,0
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Alan Keyes,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,73,,,,,2008,65,7,0,1
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,John McCain,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,3299,,,,,2008,3098,151,8,42
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Ron Paul,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,168,,,,,2008,162,5,0,1
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Mitt Romney,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,271,,,,,2008,217,50,0,4
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Tom Tancredo,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,7,,,,,2008,7,0,0,0
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Fred Thompson,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,46,,,,,2008,40,5,0,1
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,U.S. Congress,06,Roscoe Bartlett,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,5016,,,,,2008,4714,232,11,59
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,U.S. Congress,06,Tom Croft,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,320,,,,,2008,304,11,1,4
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,U.S. Congress,06,John B. Kimble,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,333,,,,,2008,315,8,0,10
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,U.S. Congress,06,Joseph T. Krysztoforski,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,222,,,,,2008,210,10,0,2
2015-10-09 20:20:33.690000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,U.S. Congress,06,Frank K. Nethken,,,,,REP,,Allegany,ocd-division/country:us/state:md/county:allegany,219,,,,,2008,202,13,0,4
2015-10-09 20:20:41.522000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Joe Biden,,,,,DEM,,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,373,,,,,2008,345,17,0,11
2015-10-09 20:20:41.522000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Hillary Clinton,,,,,DEM,,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,29465,,,,,2008,27675,974,73,743
2015-10-09 20:20:41.522000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Christopher J. Dodd,,,,,DEM,,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,72,,,,,2008,70,2,0,0
2015-10-09 20:20:41.522000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,John Edwards,,,,,DEM,,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,1222,,,,,2008,1098,104,4,16
2015-10-09 20:20:41.522000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Mike Gravel,,,,,DEM,,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,84,,,,,2008,76,4,0,4
2015-10-09 20:20:41.522000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Dennis J. Kucinich,,,,,DEM,,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,167,,,,,2008,161,3,0,3
2015-10-09 20:20:41.522000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,35560,,,,,2008,33099,1015,127,1319
2015-10-09 20:20:41.522000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Bill Richardson,,,,,DEM,,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,240,,,,,2008,225,12,1,2
2015-10-09 20:20:41.522000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,President - Vice Pres,,Uncommitted To Any Presidential Candidate,,,,,DEM,,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,1482,,,,,2008,1389,72,2,19
2015-10-09 20:20:41.522000,md-2008-02-12-primary,2008-02-12 00:00:00,2008-02-12 00:00:00,primary,certified,False,U.S. Congress,01,Steve Harper,,,,,DEM,,Anne Arundel,ocd-division/country:us/state:md/county:anne_arundel,1500,,,,,2008,1381,56,12,51
